year,month,AQI,range,level,PM2.5,PM10,SO2,CO,NO2,O3
14,Jan,125,26~402,2,123,51,1.948,65,37,94
14,Feb,184,33~428,3,155,56,2.171,69,42,148
14,Mar,130,35~319,2,138,34,1.39,62,83,94
14,Apr,127,65~279,2,145,16,0.927,57,129,89
14,May,107,46~205,2,118,15,0.839,47,149,61
14,Jun,116,50~179,2,74,6,0.79,39,168,54
14,Jul,140,39~252,2,100,6,0.939,39,170,89
14,Aug,120,46~200,2,88,5,0.839,43,172,62
14,Sep,99,43~200,1,88,6,0.983,49,106,65
14,Oct,154,28~381,3,148,9,1.339,70,54,118
14,Nov,117,29~342,2,127,16,1.567,65,37,86
14,Dec,86,21~267,1,95,28,1.552,53,42,58
15,Jan,126,28~378,2,120,34,1.91,66,39,97
15,Feb,127,36~334,2,114,26,1.457,51,60,93
15,Mar,127,40~281,2,146,20,1.194,53,87,86
15,Apr,107,38~212,2,118,9,0.76,43,124,71
15,May,105,42~203,2,97,8,0.745,37,153,55
15,Jun,111,35~231,2,70,6,1.303,35,156,60
15,Jul,122,41~200,2,74,4,0.823,35,177,61
15,Aug,104,37~202,2,66,3,0.79,31,159,45
15,Sep,83,34~201,1,59,5,0.837,43,109,50
15,Oct,106,27~344,2,86,6,0.955,55,74,74
15,Nov,153,37~450,3,85,12,1.983,62,25,119
15,Dec,187,23~485,3,172,20,2.865,76,26,152
16,Jan,97,32~316,1,88,20,1.584,53,42,68
16,Feb,71,34~238,1,59,15,0.903,35,68,44
16,Mar,132,37~365,2,136,18,1.229,57,79,93
16,Apr,106,43~209,2,118,10,0.803,44,116,69
16,May,111,49~234,2,90,8,0.665,38,160,54
16,Jun,126,50~189,2,70,5,0.767,35,183,59
16,Jul,118,40~177,2,74,3,0.916,33,159,69
16,Aug,94,34~179,1,60,3,0.832,35,135,47
16,Sep,86,0~211,1,73,3,0.76,43,104,55
16,Oct,116,29~292,2,101,4,1.155,56,47,85
16,Nov,133,28~315,2,134,11,1.797,68,28,100
16,Dec,168,54~431,3,159,17,2.51,80,28,133
17,Jan,146,34~470,2,131,18,2.203,65,41,116
17,Feb,100,36~305,1,84,18,1.318,53,65,71
17,Mar,94,40~273,1,84,11,0.913,50,86,63
17,Apr,87,38~174,1,104,7,0.693,48,101,53
17,May,134,53~500,2,104,7,0.674,37,161,48
17,Jun,125,50~200,2,75,6,0.783,38,184,42
17,Jul,118,38~208,2,71,3,0.894,34,174,52
17,Aug,85,34~162,1,56,3,0.803,35,131,38
17,Sep,98,36~189,1,100,4,0.913,49,123,58
17,Oct,84,25~221,1,63,3,0.923,46,47,57
17,Nov,75,30~201,1,73,5,0.903,49,44,46
17,Dec,81,23~254,1,68,8,1.09,49,25,44
18,Jan,64,28~176,1,65,7,0.768,39,48,34
18,Feb,80,32~218,1,72,9,0.786,31,70,50
18,Mar,115,0~283,2,104,9,1.003,53,81,82
18,Apr,98,36~256,1,108,6,0.673,38,115,59
18,May,91,0~169,1,85,4,0.648,36,134,45
18,Jun,111,44~190,2,67,4,0.7,32,168,43
18,Jul,89,28~156,1,48,3,0.787,24,135,44
18,Aug,83,35~152,1,46,3,0.745,26,133,31
18,Sep,60,30~132,1,45,3,0.543,34,93,28
18,Oct,74,26~203,1,59,4,0.668,45,70,42
18,Nov,108,39~270,2,104,7,1.07,60,37,71
18,Dec,71,0~232,1,73,7,0.835,46,40,38
19,Jan,81,30~267,1,80,9,0.997,50,44,51
19,Feb,80,32~180,1,72,6,0.807,35,65,53
19,Mar,85,39~233,1,80,5,0.635,39,86,52
19,Apr,84,39~171,1,91,4,0.547,34,103,48
19,May,93,47~195,1,78,4,0.503,34,143,37
19,Jun,121,36~193,2,60,4,0.713,27,179,39
19,Jul,108,33~173,2,50,3,0.661,27,159,37
19,Aug,72,28~150,1,37,3,0.571,26,118,23
19,Sep,97,33~178,1,58,3,0.67,33,151,36
19,Oct,68,23~163,1,66,3,0.681,41,42,40
19,Nov,76,30~183,1,78,5,0.797,48,32,44
19,Dec,73,28~233,1,60,4,0.845,46,37,44
20,Jan,86,30~221,1,65,6,0.955,40,53,59
20,Feb,89,34~257,1,57,4,0.883,27,66,62
