city,month,sunshine
Seattle,Jan,69
Seattle,Feb,108
Seattle,Mar,178
Seattle,Apr,207
Seattle,May,253
Seattle,Jun,268
Seattle,Jul,312
Seattle,Aug,281
Seattle,Sep,221
Seattle,Oct,142
Seattle,Nov,72
Seattle,Dec,52
Chicago,Jan,135
Chicago,Feb,136
Chicago,Mar,187
Chicago,Apr,215
Chicago,May,281
Chicago,Jun,311
Chicago,Jul,318
Chicago,Aug,283
Chicago,Sep,226
Chicago,Oct,193
Chicago,Nov,113
Chicago,Dec,106
New York,Jan,154
New York,Feb,171
New York,Mar,213
New York,Apr,237
New York,May,268
New York,Jun,289
New York,Jul,302
New York,Aug,271
New York,Sep,235
New York,Oct,213
New York,Nov,169
New York,Dec,155
San Francisco,Jan,165
San Francisco,Feb,182
San Francisco,Mar,251
San Francisco,Apr,281
San Francisco,May,314
San Francisco,Jun,330
San Francisco,Jul,300
San Francisco,Aug,272
San Francisco,Sep,267
San Francisco,Oct,243
San Francisco,Nov,189
San Francisco,Dec,156
Houston,Jan,144
Houston,Feb,141
Houston,Mar,193
Houston,Apr,212
Houston,May,266
Houston,Jun,298
Houston,Jul,294
Houston,Aug,281
Houston,Sep,238
Houston,Oct,239
Houston,Nov,181
Houston,Dec,146
Miami,Jan,222
Miami,Feb,227
Miami,Mar,266
Miami,Apr,275
Miami,May,280
Miami,Jun,251
Miami,Jul,267
Miami,Aug,263
Miami,Sep,216
Miami,Oct,215
Miami,Nov,212
Miami,Dec,209
